"","data","question","private_vb","that_del","contract","vb_present","pro_2","pro_1","sub_conj_caus","disc_particle","pro_nom","coord_conj_cls","prep_final","nn_all","prep","jj_attr","tt_ratio","word_length","pro_3","wh_rel_subj","nn_nom","adv_time","mod_pred","vb_suasive","sub_conj_cond","conj_advl","G_1","G_2","G_3","social_orientation_1","social_orientation_2","choice","PID_1","PID_2","PID_3","PID_4","PID_5","PID_6","PID_7","PID_8","PID_9","PID_10","PID_11","PID_12","PID_13","PID_14","PID_15","PID_16","PID_17","PID_18","PID_19","PID_20","PID_21","PID_22","PID_23","PID_24","PID_25","PID_26","PID_27","PID_28","PID_29","PID_30","PID_31","PID_32","PID_33","PID_34","PID_35","PID_36","PID_37","PID_38","PID_39","PID_40","PID_41","PID_42","PID_43","PID_44","PID_45","PID_46","PID_47","PID_48","PID_49","PID_50","PID_51","PID_52","PID_53","PID_54","PID_55","PID_56","PID_57","PID_58","PID_59","PID_60","PID_61","PID_62","PID_63","PID_64","PID_65","PID_66","PID_67","PID_68","PID_69","PID_70","PID_71","PID_72","PID_73","PID_74","PID_75","PID_76","PID_77","PID_78","PID_79","PID_80","PID_81","PID_82","PID_83","PID_84","PID_85","PID_86","PID_87","PID_88","PID_89","PID_90","PID_91","PID_92","PID_93","PID_94","PID_95","PID_96","PID_97","PID_98","PID_99","PID_100","PID_101","PID_102","PID_103","PID_104","PID_105","PID_106","PID_107","PID_108","PID_109","PID_110","PID_111","PID_112","PID_113","PID_114","PID_115","PID_116","PID_117","PID_118","PID_119","PID_120","PID_121","PID_122","PID_123","PID_124","PID_125","PID_126","PID_127","PID_128","PID_129","PID_130","PID_131","PID_132","PID_133","PID_134","PID_135","PID_136","PID_137","PID_138","PID_139","PID_140","PID_141","PID_142","PID_143","PID_144","PID_145","PID_146","PID_147","PID_148","PID_149","PID_150","PID_151","PID_152","PID_153","PID_154","PID_155","PID_156","PID_157","PID_158","PID_159","PID_160","PID_161","PID_162","PID_163","PID_164","PID_165","PID_166","PID_167","PID_168","PID_169","PID_170","PID_171","PID_172","PID_173","PID_174","PID_175","PID_176","PID_177","PID_178","construct","social_or_1_na","social_or_2_na","emphatic","pro_it","amplifr","wh_ques","vb_past","coord_conj_phrs","adv","infinitive","mod_necess","split_aux","passive_short","jj_pred"
"11","FLG-DailyDialog","R2_10_E_1",-41.7,-20.8,-20.8,-29.8,-17.9,-62.5,0,0,0,3,0,116,104.2,5.9,-1,-0.1,0,0,8.9,0,-20.8,0,3,0,0,1,0,1,4,"ORIGINAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CREDIB",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","FLG-DailyDialog","R2_10_E_1",-41.7,-20.8,-20.8,-29.8,-17.9,-62.5,0,0,0,3,0,116,104.2,5.9,-1,-0.1,0,0,8.9,0,-20.8,0,3,0,0,1,0,6,6,"ORIGINAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CREDIB",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","FLG-DailyDialog","R2_10_E_1",-41.7,-20.8,-20.8,-29.8,-17.9,-62.5,0,0,0,3,0,116,104.2,5.9,-1,-0.1,0,0,8.9,0,-20.8,0,3,0,0,1,0,5,5,"ORIGINAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CREDIB",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","FLG-DailyDialog","R2_10_E_1",-41.7,-20.8,-20.8,-29.8,-17.9,-62.5,0,0,0,3,0,116,104.2,5.9,-1,-0.1,0,0,8.9,0,-20.8,0,3,0,0,1,0,5,2,"TRANSLATED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CREDIB",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","FLG-DailyDialog","R2_10_E_1",-41.7,-20.8,-20.8,-29.8,-17.9,-62.5,0,0,0,3,0,116,104.2,5.9,-1,-0.1,0,0,8.9,0,-20.8,0,3,0,0,1,0,2,2,"ORIGINAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CREDIB",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","FLG-DailyDialog","R2_10_E_1",-41.7,-20.8,-20.8,-29.8,-17.9,-62.5,0,0,0,3,0,116,104.2,5.9,-1,-0.1,0,0,8.9,0,-20.8,0,3,0,0,1,0,5,5,"ORIGINAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CREDIB",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","FLG-DailyDialog","R2_10_E_1",-41.7,-20.8,-20.8,-29.8,-17.9,-62.5,0,0,0,3,0,116,104.2,5.9,-1,-0.1,0,0,8.9,0,-20.8,0,3,0,0,1,0,1,1,"TRANSLATED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CREDIB",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","FLG-DailyDialog","R2_10_E_1",-41.7,-20.8,-20.8,-29.8,-17.9,-62.5,0,0,0,3,0,116,104.2,5.9,-1,-0.1,0,0,8.9,0,-20.8,0,3,0,0,1,0,5,6,"ORIGINAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CREDIB",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","FLG-DailyDialog","R2_10_E_1",-41.7,-20.8,-20.8,-29.8,-17.9,-62.5,0,0,0,3,0,116,104.2,5.9,-1,-0.1,0,0,8.9,0,-20.8,0,3,0,0,1,0,1,1,"ORIGINAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"CREDIB",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","FLG-DailyDialog","R2_10_E_1",-41.7,-20.8,-20.8,-29.8,-17.9,-62.5,0,0,0,3,0,116,104.2,5.9,-1,-0.1,0,0,8.9,0,-20.8,0,3,0,0,1,0,3,5,"ORIGINAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"CREDIB",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","FLG-DailyDialog","R2_10_E_1",-41.7,-20.8,-20.8,-29.8,-17.9,-62.5,0,0,0,3,0,116,104.2,5.9,-1,-0.1,0,0,8.9,0,-20.8,0,3,0,0,1,0,5,4,"NONE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UX",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","FLG-DailyDialog","R2_10_E_1",-41.7,-20.8,-20.8,-29.8,-17.9,-62.5,0,0,0,3,0,116,104.2,5.9,-1,-0.1,0,0,8.9,0,-20.8,0,3,0,0,1,0,4,4,"ORIGINAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UX",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
